REFINE,NE,HMIN,UERRH1,HERRINF,DRMAX
0,100,360000.00,1.175e-01,829.924,167823.512
1,392,165520.54,4.395e-02,829.924,103814.968
2,1200,73776.40,1.751e-02,426.823,64984.662
3,2912,36960.79,1.034e-02,426.823,32663.721
4,6568,16652.31,4.990e-03,321.526,16322.386
5,15120,8094.90,1.946e-03,228.377,8061.364
6,31202,4076.06,1.098e-03,190.757,4222.100
7,67074,1932.63,4.284e-04,119.175,2158.418
8,136538,970.71,2.396e-04,88.778,1098.780
9,281200,465.36,1.060e-04,75.851,541.888
10,570526,239.20,5.614e-05,50.100,276.878
11,1158466,116.99,2.443e-05,36.087,136.315
12,2303520,58.40,1.365e-05,27.179,69.791
13,4655022,29.67,6.104e-06,19.607,34.304
